Y,T,prevearn,age,married,hrwage,black,hispanic,hsorged,yrs_educ,selection
1353,1,0,46,0,325,1,0,1,12,0
4984,1,3591,24,0,550,0,0,1,11,0
27707,1,0,34,1,375,0,1,1,12,0
31860,1,9476,31,0,515,0,0,1,9,0
26615,0,9600,22,0,335,0,0,0,8,1
8385,1,0,41,1,400,0,0,1,12,0
22221,1,150,27,0,500,0,0,1,12,0
1933,1,1671,35,1,600,0,1,0,8,0
25766,1,1569,40,1,400,0,0,1,12,0
24765,0,3412,22,0,335,0,0,1,16,0
33390,1,7751,29,0,404,0,0,1,12,0
12537,0,600,26,0,359,0,0,0,10,1
48254,0,6634,28,0,657,0,0,1,12,0
23686,0,0,33,0,350,1,0,0,10,0
0,1,2444.656006,43,1,400,0,0,0,10,1
10112,0,500,33,1,450,0,0,1,12,0
33570,0,8460,29,0,400,0,0,1,12,0
27676,0,8020,26,1,490,0,0,1,12,0
38018,1,4500,29,0,340,1,0,1,12,0
3366,1,0,26,0,557,0,0,0,8,0
13892,0,4000,29,0,610,0,0,1,13,0
14598,0,2041,29,0,440,1,0,1,13,0
439,1,0,29,0,500,0,0,1,8,0
37644,0,3500,22,0,360,0,1,1,12,0
9747,0,4500,48,0,450,0,0,1,12,0
0,0,154,50,0,385,0,0,0,9,0
0,1,2444.656006,46,0,350,1,0,1,12,0
34728,0,10000,24,0,400,1,0,1,13,0
0,0,0,22,0,735,0,0,1,12,0
7028,1,30,27,0,275,1,0,1,10,0
5475,1,0,29,0,1200,0,0,1,12,1
12394,0,0,26,0,335,0,0,0,11,1
11018,1,0,30,0,500,0,0,1,12,0
1109,0,0,55,0,335,0,0,1,12,0
26944,0,0,31,0,500,1,0,1,12,1
2787,0,12000,22,0,335,1,0,1,12,0
8127,1,3200,37,1,462,0,0,1,15,0
28029,1,0,32,1,450,0,0,1,12,0
20865,0,0,35,0,125,0,0,0,10,0
2952,1,0,39,0,400,0,1,0,10,0
23830,1,4500,37,0,587,1,0,1,12,0
13871,1,4421,26,0,350,0,0,1,13,0
3721,0,9000,29,0,400,0,0,1,12,0
6261,1,500,22,1,433,0,0,0,9,0
12758,1,0,38,0,335,0,1,1,10,0
9003,1,8440,25,0,483,0,0,1,12,0
141,1,0,23,1,400,0,0,0,10,1
0,0,0,75,0,188,0,0,0,7,0
0,1,8750,55,0,521,0,0,1,12,0
0,0,0,30,0,406,0,1,1,12,0
1929,1,422,39,0,467,0,0,1,11,0
19344,0,1000,25,0,375,0,0,1,12,0
3900,1,2444.656006,22,0,335,0,1,0,9,0
47184,1,15000,28,0,828,1,0,1,12,0
22026,1,6000,25,0,504,0,0,1,14,0
22820,0,450,24,0,400,0,0,1,13,0
8244,1,2444.656006,32,1,715,0,0,1,12,0
6432,0,2000,32,0,575,0,0,1,14,0
0,1,0,38,1,345,0,0,0,7,0
0,1,0,22,0,375,1,0,0,10,0
20014,1,700,29,1,335,0,0,1,12,0
0,0,0,31,0,400,0,0,0,8,1
16194,1,2444.656006,29,0,400,1,0,1,12,0
2874,1,3000,41,1,650,0,0,1,13,0
24365,1,600,30,0,350,0,0,1,14,1
43734,1,6500,32,0,400,0,0,0,11,0
0,0,2444.656006,53,0,366,0,0,1,12,0
37122,0,3000,37,1,31,0,0,1,7,1
40305,1,1024,23,1,512,0,0,0,10,0
10371,0,0,30,0,1250,1,0,0,10,1
25585,1,0,34,0,356,0,1,1,12,0
0,1,2444.656006,38,0,425,0,0,0,10,1
5854,0,350,39,0,360,1,0,1,9,0
62424,0,14665,38,0,971,0,0,1,16,0
26214,1,5730,27,0,440,0,0,1,9,0
17943,0,2400,22,1,335,0,1,1,10,0
12586,1,1000,39,0,400,0,0,0,11,0
1935,0,0,68,1,188,0,0,0,11,0
22614,1,130,34,0,485,0,0,0,10,0
30894,1,2444.656006,37,1,340,0,0,1,16,0
22636,1,5200,32,0,250,0,0,1,9,0
22895,1,3000,37,1,445,0,0,1,11,0
9343,1,11475,31,0,580,1,0,1,13,0
17181,1,8786,54,0,750,0,0,1,12,0
1611,1,550,32,1,470,0,0,1,12,0
1455,0,0,23,0,335,0,0,1,13,0
0,1,3792,38,0,500,1,0,1,10,0
201,1,200,34,0,400,0,0,1,12,0
0,1,2444.656006,67,1,350,0,0,1,12,1
31312,1,5400,28,0,216,0,0,1,12,0
19329,1,3800,34,1,550,0,1,1,11,0
15841,0,7500,48,0,497,0,0,1,9,0
15,1,2444.656006,39,0,335,1,0,1,16,0
0,1,5000,24,0,750,1,0,1,13,0
31774,1,1300,37,0,465,0,0,1,13,0
15361,0,2444.656006,30,0,360,0,0,1,12,0
27546,1,0,28,1,350,0,0,1,12,0
285,0,2444.656006,39,0,345,1,0,0,9,0
34745,0,7000,60,0,400,0,0,1,12,0
3779,0,4000,31,0,465,0,0,1,14,0
247,1,150,27,1,425,0,0,1,11,1
22289,0,2808,23,0,360,1,0,1,12,0
16977,0,2160,46,0,375,0,0,0,10,0
19416,1,1000,30,1,575,0,0,0,8,1
7591,1,300,27,0,333,1,0,1,11,0
4968,1,3000,29,1,380,0,0,1,12,0
13367,0,2000,42,0,600,0,1,1,13,0
15471,1,8125,28,0,400,0,0,1,12,0
337,0,0,27,1,335,0,0,1,12,0
56963,1,3500,25,0,485,0,0,1,16,0
0,1,1440,35,0,42,0,0,1,17,0
22951,1,1300,28,0,410,0,0,1,13,0
5130,1,3400,28,0,450,1,0,1,12,0
2613,1,0,30,1,350,0,1,0,9,0
14145,1,2444.656006,24,0,610,0,0,0,10,1
9755,0,7143,25,0,210,0,0,1,10,0
13346,1,2444.656006,22,0,350,1,0,0,10,0
12773,0,9,34,0,900,0,0,0,8,1
24807,0,8386,27,0,700,1,0,0,12,0
2115,1,0,22,0,600,1,0,1,9,0
